PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,RSUP PROF DR R D KANDOU,MANADO PANIKI,
202601,CV. ANEKA TEGUH JAYA,PALEMBANG TALANG KALAPA,
202601,PEMKAB SIDOARJO,MALANG,
202601,PT WIJAYA LINTAS KOMINDO,BANDUNG LEMBONG,
202601,PDAM SUMENEP,SURABAYA KEBALEN,
202601,PT MULTIMEDIA TRANS DATA,JAKARTA KARET TENGSIN,
202601,UNSIQ WONOSOBO,YOGYAKARTA KOTABARU,
202601,PEMPROV PAPUA BARAT DAYA,MAKASSAR MATOANGIN,
202601,INSTITUT SENI INDONESIA SURAKARTA (ISI),YOGYAKARTA KOTABARU,
202601,PT TIGA BELAS ENTERTAINMENT,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS TEUKU UMAR,ACEH CENTRUM,
202601,UNIVERSITAS LAMPUNG,LAMPUNG TANJUNG KARANG,
202601,UNIVERSITAS SEBELAS MARET,DENPASAR KALIASEM,
202601,STT TELKOM,BANDUNG LEMBONG,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,SURABAYA KEBALEN,
202601,MITRA LINTAS MULTIMEDIA,BANJARMASIN ULIN,
202601,TELKOM DWS,JAKARTA KARET TENGSIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,MEDAN CENTRUM,Membership Class C
202601,ACEHLINK MEDIA,ACEH CENTRUM,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,MANADO PANIKI,
202601,TELKOM INFRASTRUKTUR INDONESIA,JAKARTA KARET TENGSIN,
202601,COMTRONICS SYSTEMS,MEDAN CENTRUM,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,JAKARTA KARET TENGSIN,
202601,PT APLIKANUSA LINTASARTA ,PALEMBANG TALANG KALAPA,
202601,NAOMI AURORA TEKNOLOGI,PONTIANAK CENTRUM,
202601,FIBER NETWORKS INDONESIA,PALEMBANG TALANG KALAPA,
202601,Integra Kreasitama Solusindo,MAKASSAR MATOANGIN,
202601,PT DUTAKOM WIBAWA PUTRA,SURABAYA GUBENG,
202601,KARYA ANEKA PERSADA,JAKARTA KARET TENGSIN,
202601,PT INDOSAT TBK,MEDAN CENTRUM,
202601,PT SOLUSINDO BINTANG PRATAMA,JAKARTA KARET TENGSIN,
202601,DIGITAL SATELLITE INDONESIA,JAKARTA KARET TENGSIN,
202601,GAYATRI LINTAS NUSANTARA,SURABAYA GUBENG,Membership Class C
202601,PATRIA LINTAS JAYA,JAKARTA KARET TENGSIN,
202601,GRAHA ANUGERA SEJAHTERA,MANADO PANIKI,
202601,CYB MEDIA GROUP,YOGYAKARTA KOTABARU,
202601,MITRA VISIONER PRATAMA,DENPASAR KALIASEM,
202601,DIGITAL WIRELESS INDONESIA,MEDAN CENTRUM,
202601,LINTASMAYA MULTI MEDIA,BALIKPAPAN BATUAMPAR,
202601,XLSMART TELECOM SEJAHTERA,MEDAN CENTRUM,
202601,PT . INSAN SARANA TELEMATIKA,BALIKPAPAN BATUAMPAR,
202601,PT. PARSAORAN GLOBAL DATATRANS (HSPNET),BANDUNG LEMBONG,
202601,PT Trans Hybrid Communication,JAKARTA KARET TENGSIN,
202601,iFORTE SOLUSI INFOTEK,BANDUNG LEMBONG,
202601,SUGI BINTANG JAYA,MAKASSAR MATOANGIN,
202601,NUGRAHA UTAMA TEKNOLOGI,JAKARTA KARET TENGSIN,
202601,TELKOM DATA EKOSISTEM,JAKARTA JATINEGARA,
202601,ADISESHA PALLADIUM INTERCHANGE,SURABAYA GUBENG,
202601,PC24 CYBER TELIN,JAKARTA KARET TENGSIN,
